,state,action
0,3,6
1,106,3
2,3,3
3,62,4
4,43,6
5,42,3
6,43,5
7,41,3
8,44,4
9,82,4
10,176,6
11,277,3
12,176,3
13,84,3
14,137,7
15,177,2
16,85,5
17,278,6
18,82,6
19,132,4
20,277,3
21,176,4
22,339,5
23,293,2
24,81,4
25,293,0
26,339,1
27,134,3
28,177,3
29,294,0
30,139,7
31,178,3
32,140,1
33,269,6
34,139,1
35,286,3
36,143,2
37,257,6
38,161,2
39,49,3
40,89,6
41,49,6
42,48,4
43,160,1
44,88,1
45,49,5
46,50,5
47,64,5
48,10,5
49,63,3
50,11,3
51,13,5
52,12,1
53,229,4
54,13,0
55,52,3
56,16,6
57,52,3
58,16,5
59,14,2
60,231,2
61,315,2
62,261,3
63,336,2
64,344,4
65,336,6
66,261,3
67,336,4
68,335,6
69,315,3
70,335,3
71,313,3
72,290,6
73,313,7
74,249,5
75,335,2
76,336,2
77,344,5
78,379,3
79,345,6
80,379,6
81,383,6
82,352,3
83,383,4
84,375,1
85,376,6
86,381,2
87,353,3
88,377,4
89,376,2
90,377,2
91,355,4
92,377,0
93,379,3
94,345,2
95,347,7
96,374,0
97,345,6
98,379,3
99,345,3
100,366,2
101,348,4
102,366,6
103,345,6
104,379,3
105,345,4
106,263,2
107,345,3
108,366,6
109,345,4
110,263,4
111,338,5
112,336,3
113,312,4
114,313,1
115,292,2
116,264,6
117,263,5
118,344,6
119,376,7
120,375,3
121,262,4
122,316,4
123,317,7
124,231,3
125,232,2
126,335,0
127,249,6
128,317,2
129,316,2
130,262,6
131,375,2
132,383,4
133,375,3
134,262,7
135,261,7
136,314,1
137,261,6
138,260,3
139,261,3
140,336,6
141,261,4
142,315,2
143,261,3
144,336,3
145,312,5
146,263,0
147,312,4
148,313,2
149,312,6
150,336,3
151,312,0
152,292,4
153,250,0
154,99,2
155,290,2
156,265,3
157,266,4
158,280,1
159,267,4
160,252,2
161,267,6
162,291,0
163,280,2
164,266,4
165,280,7
166,251,0
167,100,2
168,280,6
169,290,2
170,265,3
171,266,4
172,280,6
173,290,4
174,99,6
175,53,2
176,313,0
177,250,3
178,251,4
179,67,0
180,22,4
181,97,6
182,213,4
183,93,4
184,151,4
185,220,3
186,153,2
187,215,6
188,151,0
189,152,5
190,151,2
191,93,2
192,213,2
193,21,4
194,213,7
195,110,4
196,165,4
197,150,3
198,152,3
199,155,5
200,215,0
201,155,4
202,166,6
203,208,6
204,288,4
205,206,4
206,302,4
207,203,4
208,191,2
209,203,6
210,202,6
211,301,6
212,392,3
213,301,6
214,392,3
215,301,3
216,202,7
217,186,3
218,391,2
219,300,6
220,185,6
221,183,2
222,297,4
223,183,2
224,297,6
225,180,4
226,182,4
227,394,3
228,384,6
229,394,2
230,182,2
231,180,2
232,140,6
233,178,4
234,179,4
235,398,2
236,179,5
237,304,2
238,136,2
239,137,3
240,138,3
241,146,1
242,257,0
243,147,3
244,219,6
245,147,4
246,144,2
247,147,3
248,219,2
249,164,4
250,219,6
251,147,1
252,148,6
253,257,2
254,89,3
255,218,6
256,89,3
257,218,7
258,163,3
259,164,7
260,148,3
261,149,0
262,150,3
263,152,3
264,155,3
265,119,6
266,155,4
267,166,3
268,167,3
269,226,2
270,118,5
271,217,2
272,157,4
273,217,3
274,117,3
275,121,7
276,120,4
277,175,6
278,226,4
279,281,3
280,256,6
281,281,6
282,224,6
283,210,0
284,223,3
285,275,6
286,223,6
287,273,3
288,223,6
289,273,3
290,223,4
291,285,6
292,308,3
293,285,2
294,223,6
295,273,2
296,221,7
297,207,0
298,273,1
299,210,6
300,207,0
301,273,0
302,274,3
303,284,2
304,224,6
305,210,3
306,224,4
307,284,1
308,275,2
309,227,3
310,228,2
311,225,4
312,228,6
313,227,4
314,275,7
315,284,1
316,275,6
317,223,2
318,209,6
319,221,2
320,153,1
321,155,1
322,216,3
323,217,2
324,157,6
325,254,2
326,24,7
327,96,1
328,24,2
329,25,4
330,24,4
331,254,1
332,111,1
333,69,6
334,24,4
335,254,2
336,24,0
337,111,4
338,156,2
339,111,1
340,69,3
341,72,5
342,70,3
343,71,2
344,130,4
345,71,5
346,131,3
347,74,3
348,33,6
349,74,4
