,orig_acc,orig_prec,orig_rec,orig_f1,epic_acc,epic_prec,epic_rec,epic_f1,dard_acc,dard_prec,dard_rec,dard_f1,sard_acc,sard_prec,sard_rec,sard_f1
0,0.81,0.7907867132867132,0.8246056721056721,0.7888598830836683,0.93,0.944040404040404,0.9416666666666668,0.927556561085973,0.83,0.7757692307692309,0.8581196581196581,0.8071889959997376,0.82,0.7890873015873016,0.8311965811965812,0.7923014077425842
1,0.84,0.7930014430014429,0.8694444444444445,0.8200728512748972,0.92,0.9325757575757576,0.9384615384615385,0.9178743961352657,0.81,0.7508158508158509,0.85,0.7871428571428571,0.86,0.794918414918415,0.8916666666666666,0.8352514619883042
2,0.83,0.7730880230880232,0.8416666666666666,0.792659823126575,0.94,0.9556410256410258,0.9454545454545455,0.9382979797979798,0.85,0.7860514485514486,0.8618181818181817,0.8183252361673417,0.84,0.7787412587412588,0.8474999999999999,0.8030427881297447
3,0.78,0.7560281385281385,0.8017424242424243,0.7507544522825852,0.91,0.9434210526315789,0.9307692307692307,0.9148700883515462,0.8,0.7501984126984127,0.8277777777777778,0.774049209055603,0.81,0.7739996604702487,0.8344444444444445,0.7834591266458274
4,0.82,0.795484949832776,0.8372979797979798,0.804732272673449,0.92,0.93,0.9333333333333332,0.9111644394253091,0.85,0.7816928685349737,0.8608333333333335,0.8144794183695785,0.84,0.786984126984127,0.856388888888889,0.8134510829503426
5,0.8,0.7626839826839827,0.8228787878787879,0.7723468933027757,0.94,0.9472222222222223,0.9454545454545455,0.9303018575851393,0.86,0.7942821067821069,0.8625,0.8220092551127033,0.84,0.7841699893673578,0.8560606060606061,0.8060114578320909
6,0.87,0.8130808080808081,0.8595238095238095,0.8285792094615625,0.95,0.9528571428571428,0.9444444444444444,0.9356125356125358,0.85,0.787965367965368,0.8571428571428571,0.8149569297804591,0.87,0.8041269841269841,0.8636904761904762,0.8258778476425535
7,0.8,0.758853908389512,0.8209090909090909,0.7732307069149174,0.95,0.9515068265068265,0.9545454545454545,0.9445481015148534,0.83,0.7722420634920636,0.8442424242424243,0.7992665034770299,0.82,0.7842364824717766,0.8375757575757575,0.798608895977317
8,0.83,0.8083333333333333,0.8329365079365079,0.8051789100352055,0.95,0.9507070707070706,0.9545454545454545,0.9441795665634676,0.86,0.7954409642644937,0.8652777777777778,0.8248828406465977,0.84,0.8131372549019608,0.8380952380952381,0.8136257309941521
9,0.84,0.8078947368421053,0.8234126984126984,0.8021957671957672,0.95,0.9622222222222222,0.9444444444444444,0.9402714932126697,0.87,0.8041431117901705,0.86,0.8237113880034773,0.88,0.8189483065953654,0.8652777777777778,0.833995083863505
10,0.83,0.7868614718614718,0.8187878787878787,0.7925933014354067,0.94,0.9472527472527472,0.9333333333333332,0.9209308807134894,0.86,0.8037296037296038,0.8469696969696969,0.8213362617774382,0.84,0.8024184149184149,0.8278787878787879,0.8081553521484872
11,0.79,0.7476741395859043,0.8316666666666667,0.7680331262939959,0.9,0.930087069792952,0.9285714285714285,0.9050498560243687,0.82,0.7446886446886446,0.8471428571428572,0.780586047057443,0.8,0.7496386946386947,0.8400000000000001,0.7753506493506493
12,0.8,0.7772680761267717,0.8083333333333332,0.7795617599696884,0.94,0.9323076923076924,0.9454545454545455,0.9241459330143542,0.8,0.7451731893837157,0.8088888888888889,0.7608554470184928,0.84,0.7910725677830941,0.8488888888888889,0.8123639840551606
13,0.84,0.7822023809523809,0.8296814296814297,0.7879447895100069,0.94,0.9434343434343434,0.9333333333333332,0.9183281733746131,0.87,0.7905982905982907,0.8658119658119657,0.8224606595450586,0.86,0.8010912698412698,0.8512820512820513,0.8120306905370844
14,0.8,0.7499567099567099,0.8330128205128204,0.7664305621914318,0.93,0.9497802197802198,0.9416666666666668,0.9316753812636167,0.84,0.7733974358974359,0.8596153846153847,0.8065462653288741,0.81,0.7710372960372961,0.8323717948717949,0.7815708079106248
15,0.82,0.7755659536541889,0.8131313131313131,0.7694164683262047,0.94,0.9453321678321679,0.9400000000000001,0.9274076495586794,0.85,0.7996590909090909,0.8563492063492063,0.8217173615857828,0.84,0.7990800865800866,0.8353535353535353,0.7987977237523517
16,0.81,0.7710317460317461,0.8112387612387613,0.7659896480331263,0.93,0.9496153846153845,0.9363636363636363,0.9252675585284281,0.85,0.7887778887778889,0.8568181818181818,0.8120896333939813,0.86,0.8123397435897436,0.8607142857142858,0.8215002388915433
17,0.81,0.7537878787878788,0.8142676767676769,0.7733694904353808,0.93,0.9498214285714285,0.9363636363636363,0.9257253478523897,0.84,0.7543956043956044,0.8318181818181818,0.7858551108097388,0.81,0.7555463980463981,0.8156565656565657,0.7740211699105897
18,0.86,0.794949494949495,0.8435642135642135,0.8100589225589225,0.95,0.9594988344988347,0.9375,0.9323922454357237,0.88,0.8023376623376623,0.8627272727272727,0.8265885301489018,0.87,0.8079545454545454,0.8566233766233766,0.8216117216117217
19,0.82,0.7755357877416701,0.8369696969696969,0.7930391855354374,0.93,0.9338578088578089,0.9363636363636363,0.9158902691511388,0.89,0.8006410256410257,0.9,0.8438652066887361,0.86,0.7918040293040294,0.8718181818181818,0.8237588201272412
20,0.85,0.799765037593985,0.8285714285714285,0.7932191106384654,0.93,0.9430158730158731,0.93,0.9145109890109892,0.88,0.8221153846153847,0.8818181818181818,0.8457142857142858,0.87,0.8203571428571429,0.8571428571428571,0.826972286972287
21,0.83,0.7545611251493605,0.8125457875457875,0.7697640362857754,0.95,0.9509920634920634,0.95,0.9398076923076923,0.86,0.8006206293706294,0.8480519480519482,0.815716834626485,0.83,0.7720238095238096,0.8119047619047619,0.7783012478664653
22,0.9,0.8270299145299145,0.8617460317460317,0.837906241906242,0.97,0.9766666666666668,0.95,0.9542606516290727,0.9,0.8213675213675213,0.8714285714285716,0.8377898550724637,0.91,0.8310897435897436,0.8717460317460318,0.8454406405328468
23,0.85,0.7767871017871018,0.8034090909090909,0.777671592775041,0.95,0.9615384615384615,0.9166666666666667,0.9063896103896104,0.87,0.8133333333333332,0.8333333333333333,0.8137091169699866,0.86,0.7942628205128205,0.8166666666666667,0.7954138824138824
24,0.82,0.7394667832167832,0.8094072594072594,0.7584804760456934,0.93,0.9366666666666668,0.93,0.9098732469576459,0.83,0.7698401598401599,0.840909090909091,0.7925903219587431,0.84,0.772371794871795,0.8326673326673326,0.791441370223979
25,0.84,0.8075757575757576,0.8514646464646465,0.8192665040497857,0.91,0.9174592074592075,0.9181818181818182,0.8826783216783216,0.86,0.785,0.8699999999999999,0.8216929578849083,0.87,0.8084415584415584,0.8818181818181818,0.8374273095325728
26,0.84,0.8002696649755474,0.8645299145299145,0.8215216223938333,0.92,0.9332051282051281,0.9384615384615385,0.9168718898696016,0.85,0.7868055555555556,0.8777777777777779,0.8263459188878214,0.85,0.8055695611577965,0.8722222222222221,0.8299658832166573
27,0.86,0.8067543859649122,0.8336507936507938,0.8099990873195544,0.94,0.9448426573426574,0.925,0.9102380952380953,0.9,0.8324786324786325,0.8777777777777779,0.8496318373071527,0.86,0.8097619047619048,0.8353174603174602,0.8113276681590047
28,0.8,0.7707189542483659,0.8202350427350428,0.7732643380011801,0.93,0.9456439393939394,0.9363636363636363,0.9238787748982652,0.84,0.7703657453657453,0.8523076923076923,0.8019499451954696,0.82,0.7793055555555555,0.8370085470085471,0.7927479218183888
29,0.8,0.7736441336441336,0.8018181818181818,0.7636910457963089,0.93,0.9401398601398601,0.9363636363636363,0.9192784992784994,0.84,0.7801098901098901,0.8477272727272727,0.8044541789255749,0.83,0.7971371610845296,0.8334090909090909,0.798475442685969
30,0.85,0.7891896407685881,0.8077777777777777,0.7859608026721214,0.97,0.9800000000000001,0.9571428571428571,0.9616161616161616,0.88,0.8074064171122994,0.8491161616161615,0.8221143629865739,0.87,0.8166666666666667,0.8338888888888889,0.8147314578005116
31,0.83,0.7630532212885155,0.7853235653235654,0.7584173097857309,0.97,0.9717460317460318,0.95,0.9518174521270497,0.87,0.8179945054945055,0.8415140415140415,0.822497150997151,0.87,0.8161904761904761,0.8307203907203908,0.8148760362444574
32,0.78,0.7542596292596293,0.8132323232323232,0.7624597454264973,0.93,0.9429653679653679,0.9461538461538461,0.9310205949656751,0.82,0.7583144633144634,0.8545454545454545,0.7970538412993656,0.82,0.7949441786283892,0.8525252525252526,0.8096262803020104
33,0.8,0.7662927350427351,0.8245454545454546,0.777153083859073,0.93,0.9408058608058608,0.9416666666666668,0.9265844721727075,0.86,0.7786163183222007,0.8757142857142857,0.8202903585309906,0.83,0.7747222222222222,0.8518181818181818,0.799109837680305
34,0.79,0.7472246955942607,0.7970454545454546,0.7587354883865182,0.95,0.9536630036630036,0.9545454545454545,0.9454716851775675,0.82,0.7648484848484849,0.8325757575757576,0.7905923570454464,0.81,0.7680555555555555,0.8186363636363637,0.7813410961243779
35,0.86,0.7962462863933453,0.8394444444444444,0.8096233008253468,0.95,0.9533333333333334,0.9375,0.9296650717703349,0.86,0.7983097784568373,0.8472222222222221,0.8129967679379446,0.88,0.8103418803418803,0.8577777777777778,0.8302359556508163
36,0.8,0.758312324929972,0.8125757575757575,0.76821499036602,0.97,0.97488344988345,0.97,0.9692432103276094,0.87,0.7938461538461538,0.8733333333333334,0.8265713691342981,0.82,0.7716991341991342,0.8316666666666667,0.7886929736929738
37,0.83,0.7821568627450981,0.8430555555555556,0.7992235326365785,0.96,0.9568181818181818,0.96,0.9515612648221344,0.86,0.7782722832722833,0.8583333333333332,0.8124718180594476,0.83,0.7969444444444445,0.8451388888888889,0.8104385775026925
38,0.89,0.8185714285714285,0.8451648351648352,0.8185548775319942,0.98,0.9833333333333334,0.96,0.965909090909091,0.91,0.8247668997668998,0.8685714285714285,0.8428417002101213,0.88,0.8185714285714285,0.8374725274725275,0.8142215441986609
39,0.88,0.8068376068376069,0.8518315018315018,0.8179276094276094,0.96,0.966923076923077,0.9428571428571428,0.9416933638443936,0.88,0.795994005994006,0.8523076923076923,0.8134679345422379,0.9,0.8167027417027418,0.874053724053724,0.8381074909495962
40,0.79,0.7500457875457875,0.8099664224664224,0.7610300969783729,0.92,0.9355952380952381,0.9384615384615385,0.9198162071846283,0.81,0.7663149350649351,0.8504273504273504,0.7968996019460415,0.81,0.7726658961953079,0.8353632478632479,0.79052383346501
41,0.82,0.781376848985208,0.8288888888888888,0.7910601687891211,0.92,0.9405681818181819,0.9272727272727274,0.9095516569200779,0.83,0.7766860332649808,0.8388888888888889,0.7985828774559945,0.82,0.7809722222222223,0.8288888888888888,0.793207729468599
42,0.86,0.7914880952380953,0.8300793650793651,0.8007880235706324,0.95,0.9455555555555556,0.9285714285714285,0.910609857978279,0.86,0.7920634920634921,0.840079365079365,0.8062505704960948,0.87,0.8051120448179271,0.8420995670995671,0.8157813950167773
43,0.83,0.7902442002442003,0.8388888888888889,0.8000053485162182,0.95,0.9583333333333333,0.9545454545454545,0.9462404092071612,0.86,0.7906499382969971,0.8677777777777778,0.8229924812030076,0.85,0.8109523809523809,0.86,0.8219705686954784
44,0.78,0.7267424242424243,0.8003535353535354,0.734642598887181,0.91,0.9334415584415584,0.9307692307692307,0.9092913278671793,0.82,0.7489743589743589,0.8516666666666666,0.7795469107551487,0.81,0.7548168498168498,0.8384848484848485,0.7734623323013416
45,0.8,0.7693018419489007,0.8218181818181819,0.7714723456908616,0.93,0.9379176379176378,0.9416666666666668,0.9241151005856889,0.85,0.7905411255411255,0.8718181818181818,0.8256130962858652,0.81,0.7816339869281046,0.8327272727272728,0.7926907101513374
46,0.85,0.7986671223513329,0.8611471861471861,0.8198945981554676,0.93,0.9355050505050505,0.9363636363636363,0.9172477577000974,0.84,0.770018315018315,0.8595238095238095,0.8078559926386013,0.85,0.7825681263181263,0.8577380952380953,0.8121695951107716
47,0.86,0.7976251526251527,0.8566666666666667,0.8134052138017678,0.95,0.965224358974359,0.9444444444444444,0.942845807865298,0.87,0.7859584859584859,0.86,0.816608875128999,0.87,0.8108119658119659,0.865,0.8267426879218507
48,0.8,0.7656410256410255,0.7965922965922966,0.7577533577533578,0.94,0.9467460317460317,0.9400000000000001,0.9280079283175258,0.83,0.7880407092907094,0.8393162393162393,0.7981349206349206,0.84,0.7873076923076923,0.8335775335775336,0.7949372455665362
49,0.82,0.7765403091060985,0.819059829059829,0.783919134945771,0.94,0.9525,0.9400000000000001,0.9309273182957394,0.86,0.7807167832167832,0.8555555555555555,0.8131803037004275,0.84,0.7917625348507702,0.8401709401709402,0.8069536977184036
50,0.79,0.762012987012987,0.8166666666666667,0.772003341308473,0.91,0.9261038961038961,0.9307692307692307,0.9047933773051555,0.79,0.7443181818181819,0.8212121212121211,0.7709889851029306,0.8,0.7772469635627531,0.8222222222222222,0.7827475426373501
51,0.84,0.7579390054390054,0.8484415584415584,0.7895041673302543,0.93,0.9480519480519481,0.93,0.9173919413919414,0.85,0.7676495726495727,0.8509090909090908,0.797363805934273,0.86,0.7862606837606837,0.8627272727272727,0.814022644022644
52,0.87,0.8160143949617634,0.8246031746031747,0.8048632478632477,0.96,0.9686965811965813,0.9428571428571428,0.9434509803921568,0.87,0.8075487012987013,0.8416666666666666,0.8180943179204048,0.88,0.826698717948718,0.8388888888888889,0.8188811798223563
53,0.86,0.7898268398268398,0.832857142857143,0.7929461279461278,0.97,0.9746753246753247,0.9625,0.9632193732193732,0.89,0.809508547008547,0.875,0.8376515151515151,0.88,0.8060622710622711,0.8550000000000001,0.8189535873818995
54,0.79,0.7511370573870574,0.7980796980796981,0.7567722473604828,0.95,0.9603174603174602,0.9545454545454545,0.9490021786492374,0.83,0.7699007936507937,0.851048951048951,0.8022685680332738,0.83,0.789053724053724,0.8448329448329449,0.8057831355664172
55,0.83,0.7815674603174603,0.8486868686868686,0.8012477568159749,0.93,0.9217691622103388,0.9416666666666668,0.9136253942136296,0.85,0.7615743733390793,0.8699999999999999,0.8073205741626793,0.83,0.7816035353535353,0.8495959595959596,0.8036358009479452
56,0.76,0.7425602175602175,0.8256410256410256,0.7468143553848225,0.9,0.9196581196581196,0.9375,0.9078100995338847,0.82,0.73503663003663,0.8800000000000001,0.791101279769472,0.78,0.7371360665478314,0.8433333333333334,0.7588782785841609
57,0.81,0.7882956259426848,0.8023376623376623,0.7732615198585525,0.95,0.9549999999999998,0.9545454545454545,0.946433645922137,0.87,0.7904761904761906,0.8763888888888889,0.8272011486516803,0.84,0.7966503267973856,0.8425,0.804883144508332
58,0.84,0.7674567099567099,0.8242424242424242,0.7826644349565242,0.96,0.9617424242424242,0.95,0.9461471861471861,0.86,0.7943784565108094,0.8436363636363635,0.8108893762183238,0.85,0.79249333999334,0.8309090909090908,0.801227931488801
59,0.85,0.7946906035141329,0.8482142857142858,0.8071723974949782,0.92,0.9245299145299144,0.9272727272727274,0.8988838808250573,0.86,0.7843065431300726,0.876923076923077,0.8232438260664068,0.86,0.7919011544011544,0.865909090909091,0.8183550708550709
60,0.79,0.7514646464646464,0.8141996891996891,0.7611806476976756,0.96,0.9618181818181819,0.9636363636363636,0.9566666666666667,0.87,0.8005555555555555,0.8811965811965813,0.8342289055973267,0.81,0.7841258741258741,0.8322455322455322,0.7879747899159664
61,0.83,0.7791718738777562,0.8288888888888888,0.7846968457635648,0.95,0.9573809523809524,0.9444444444444444,0.9383872166480861,0.86,0.7886247086247086,0.860897435897436,0.8193602847698959,0.86,0.8026062826062826,0.8555555555555555,0.8189463477698773
62,0.81,0.7837878787878787,0.8272222222222222,0.7882843137254902,0.94,0.9526251526251526,0.9454545454545455,0.9359509803921569,0.83,0.7761363636363636,0.85,0.8035445713706585,0.83,0.7973137973137974,0.8444444444444444,0.8053701298701299
63,0.78,0.7591020091020091,0.8095959595959595,0.763153747734445,0.92,0.9384615384615385,0.9384615384615385,0.9211352657004831,0.81,0.7450757575757576,0.840909090909091,0.7827089183382089,0.81,0.7684634809634809,0.8397979797979798,0.787522754029148
64,0.8,0.7452350427350428,0.8406410256410257,0.7701869111280877,0.92,0.9428138528138528,0.9384615384615385,0.924013024013024,0.83,0.7626007326007326,0.865,0.8034313440606347,0.81,0.763962148962149,0.8423809523809525,0.7858064056462225
65,0.81,0.7723256860098966,0.8173809523809524,0.7718668213214493,0.93,0.9415140415140415,0.93,0.9129871794871794,0.84,0.7857080419580419,0.855952380952381,0.8128902691511387,0.84,0.7908459595959596,0.8483333333333334,0.8045877192982458
66,0.79,0.749337285521496,0.8083333333333333,0.7616796536796537,0.95,0.9607142857142857,0.9545454545454545,0.9486102133160956,0.83,0.7708974358974359,0.8388888888888889,0.7962235503088916,0.82,0.7811463046757164,0.8333333333333333,0.7951348520760286
67,0.86,0.8082142857142858,0.8392424242424242,0.8151662872506863,0.95,0.953974358974359,0.9375,0.92982335945265,0.89,0.8121031746031747,0.865909090909091,0.8335981665393429,0.88,0.815873015873016,0.8597979797979798,0.8320845004668534
68,0.85,0.7902705627705627,0.8354545454545456,0.7990900886553061,0.95,0.9602564102564102,0.9375,0.9328063241106719,0.88,0.8115079365079364,0.8636363636363636,0.8291511387163562,0.87,0.8150641025641026,0.8536363636363635,0.8242310702264936
69,0.84,0.7868557758031443,0.8284848484848485,0.7973809523809524,0.96,0.9607070707070708,0.9555555555555555,0.9507592510688486,0.86,0.7921066433566433,0.8614285714285714,0.8189684961195258,0.87,0.8059757236227825,0.8566666666666667,0.8251498906772741
70,0.8,0.7695887445887446,0.802579365079365,0.7613965744400527,0.92,0.9266666666666665,0.9333333333333332,0.908456242909063,0.84,0.7784848484848486,0.8607142857142858,0.811910866910867,0.83,0.790978407557355,0.8303571428571429,0.789332180380826
71,0.78,0.7331187818029924,0.7921212121212122,0.7430411884073211,0.92,0.9334249084249084,0.9272727272727274,0.9058170090778785,0.81,0.7613852813852813,0.831060606060606,0.7827489177489177,0.81,0.7710688820982938,0.8295454545454545,0.7843651962073015
72,0.84,0.7768055555555555,0.8146212121212122,0.7832270057781566,0.96,0.9631313131313132,0.9428571428571428,0.9402648332060096,0.86,0.804916129622012,0.8329545454545455,0.8119454338764683,0.88,0.8211127108185933,0.8511363636363637,0.830847593120733
73,0.8,0.7765002970885323,0.8140404040404039,0.7792124101102429,0.91,0.9309090909090909,0.925,0.9008840282524494,0.85,0.7866055513114337,0.8699999999999999,0.8212317265311821,0.82,0.7943181818181817,0.8418181818181818,0.804752208575738
74,0.83,0.7853221288515406,0.8267521367521367,0.7834116672800884,0.94,0.9517857142857142,0.9333333333333332,0.9242450142450143,0.86,0.7736904761904763,0.85,0.803454246143428,0.85,0.7873809523809523,0.8427777777777777,0.8007579126862249
75,0.8,0.7729166666666666,0.8232323232323232,0.775562091503268,0.94,0.9549603174603174,0.95,0.9421176470588236,0.83,0.7685030165912519,0.8464646464646464,0.7981722713467134,0.81,0.7873856209150326,0.8303030303030303,0.7872916076012051
76,0.84,0.795982905982906,0.8509945609945611,0.8091377250200779,0.94,0.951923076923077,0.9454545454545455,0.9360177865612649,0.86,0.7825974025974026,0.8709090909090909,0.8201127214170694,0.86,0.8016666666666667,0.8697979797979798,0.8255443363115997
77,0.82,0.7625024975024975,0.8057925407925408,0.769034588599806,0.95,0.9484848484848485,0.95,0.9380331262939958,0.85,0.7895238095238095,0.8375757575757575,0.8026376932669839,0.83,0.7779411764705882,0.8142424242424242,0.7803779553779554
78,0.84,0.7706915306915307,0.837863247863248,0.7880186767580655,0.96,0.9680219780219781,0.9555555555555555,0.954473105841527,0.88,0.7916221033868093,0.8625,0.8147619047619047,0.88,0.8039766081871346,0.8756410256410255,0.8290613465481886
79,0.85,0.7849705196764021,0.8125641025641025,0.7892590284944108,0.95,0.9650757575757576,0.9166666666666667,0.9099999999999999,0.88,0.8226948051948053,0.8423076923076923,0.821458029130798,0.86,0.7993822843822844,0.8158974358974358,0.7980593469499017
80,0.82,0.7618055555555555,0.8062626262626263,0.7655107884654165,0.95,0.9584415584415584,0.9444444444444444,0.9390842490842491,0.86,0.7948451548451549,0.8574603174603175,0.8171114600938265,0.85,0.7989339826839827,0.8384848484848485,0.8060663440209721
81,0.86,0.8158119658119658,0.8711965811965812,0.8336131618639359,0.92,0.9315984015984016,0.9272727272727274,0.9049988497814585,0.85,0.7901709401709401,0.8616161616161616,0.8156219760631526,0.87,0.8024035604917958,0.8788888888888888,0.8329364794481231
82,0.79,0.7434020949810424,0.7972222222222222,0.7494492186946605,0.95,0.9656410256410256,0.95,0.9472820512820513,0.85,0.7590730837789661,0.8266666666666665,0.785615763546798,0.82,0.7826084441873915,0.8216666666666667,0.7865977553855312
83,0.85,0.7838502673796791,0.8333333333333334,0.7843539219401288,0.95,0.9587412587412588,0.9375,0.9319781667607755,0.87,0.7845003607503609,0.8566666666666667,0.809165844612807,0.88,0.8057167832167833,0.86,0.8202509554429058
84,0.85,0.7887629613248809,0.8299062049062048,0.7977934748778738,0.95,0.9524725274725275,0.9375,0.9291750841750842,0.88,0.8083658008658009,0.8568181818181818,0.8280086580086581,0.87,0.814860066833751,0.8560606060606061,0.8271021880309807
85,0.81,0.7834502923976607,0.82,0.7814285714285714,0.92,0.9341991341991343,0.9272727272727274,0.9056410256410257,0.86,0.7857070707070707,0.865,0.8189460642556619,0.84,0.8013071895424837,0.85,0.8121226268285092
86,0.77,0.7222762033288349,0.7983333333333333,0.7315162597183058,0.92,0.9364635364635363,0.9384615384615385,0.9201269841269841,0.8,0.741058941058941,0.8388888888888889,0.7730007441295637,0.8,0.7466783216783217,0.826388888888889,0.7647293233082707
87,0.8,0.7504329004329005,0.808479020979021,0.7627077313138695,0.95,0.9646153846153848,0.95,0.9472222222222222,0.86,0.7718864468864468,0.8450757575757576,0.8005757286192068,0.82,0.7608730158730158,0.8266608391608392,0.778211358121844
88,0.86,0.780058275058275,0.8340659340659341,0.7862043969102793,0.98,0.985,0.96,0.9672038980509745,0.9,0.8073076923076924,0.862087912087912,0.8256078360151587,0.87,0.792878787878788,0.8406593406593407,0.7994511897817861
89,0.79,0.7489285714285714,0.797077922077922,0.7574786324786325,0.94,0.9462412587412589,0.9454545454545455,0.9335000000000001,0.85,0.7796203796203797,0.8523809523809524,0.8095667350552261,0.83,0.7701420217209691,0.8334415584415584,0.7915928320098986
90,0.82,0.7729360835243189,0.8172979797979798,0.768163358690742,0.95,0.9569230769230769,0.9545454545454545,0.946433645922137,0.85,0.7877466977466978,0.8550000000000001,0.8115664160401004,0.83,0.7925757575757577,0.8277777777777778,0.7882753266224032
91,0.8,0.7592857142857143,0.807936507936508,0.7654987587008047,0.94,0.9526251526251526,0.95,0.9401176470588236,0.81,0.7624184149184149,0.8333333333333333,0.7853503742634178,0.82,0.7787254901960784,0.8347222222222221,0.7931471103491563
