,orig_acc,orig_prec,orig_rec,orig_f1,epic_acc,epic_prec,epic_rec,epic_f1,dard_acc,dard_prec,dard_rec,dard_f1,sard_acc,sard_prec,sard_rec,sard_f1
0,0.67,0.7211538461538461,0.6787164224664225,0.6580411605937921,0.68,0.7254578754578754,0.6849664224664225,0.6648042968827905,0.68,0.7245879120879122,0.6920695970695971,0.6681687997689654,0.74,0.745765639589169,0.7398015873015873,0.7058579592635319
1,0.69,0.7119749694749694,0.6986580086580088,0.6890183906221059,0.71,0.731812865497076,0.7153246753246754,0.7060890457789489,0.71,0.7335100571942677,0.7169913419913421,0.7082266976008113,0.77,0.831111111111111,0.7863203463203463,0.7669267399267399
2,0.63,0.6893334606569901,0.6099358974358975,0.5987529137529137,0.67,0.7306730842257159,0.6634615384615385,0.645572113072113,0.69,0.704838543809132,0.6673305860805862,0.6419750981732406,0.79,0.801031746031746,0.7465201465201465,0.7145401594123704
3,0.65,0.7003601953601953,0.6837262084320908,0.6575351072776703,0.65,0.7013924963924963,0.6824657042304101,0.649639515455305,0.69,0.7071394064872325,0.7037448825684121,0.6770023717402235,0.73,0.7113775717036586,0.7251188680600447,0.6852664731644127
4,0.77,0.8262745098039217,0.7777722277722278,0.7693449242744594,0.76,0.8095345830639948,0.7686813186813187,0.7529430813574035,0.76,0.8282159017453135,0.7642357642357642,0.7502664655605831,0.73,0.7813725490196078,0.7453546453546454,0.7158188671232149
5,0.68,0.7596016556542872,0.6958119658119657,0.6848600279692086,0.68,0.7581313131313131,0.6958119658119657,0.6851100412114355,0.66,0.7508663558663559,0.681869658119658,0.6697948332938191,0.73,0.7743290043290043,0.7413354700854701,0.7151286654521949
6,0.76,0.7764946164946165,0.7418939393939394,0.7283296984453773,0.74,0.7586935286935288,0.7203030303030304,0.7081409068448211,0.73,0.7468376068376068,0.7080303030303031,0.6980701089192138,0.77,0.7915546218487395,0.7571212121212121,0.7476389094340413
7,0.7,0.7475036075036076,0.692056277056277,0.6834935489347254,0.7,0.7475036075036076,0.692056277056277,0.6834935489347254,0.74,0.7933302808302809,0.7254329004329005,0.7226981563029484,0.77,0.7981684491978609,0.7631818181818182,0.739297719561272
8,0.68,0.7323443223443225,0.6920851370851371,0.6812424439040984,0.68,0.7393037518037519,0.7015656565656566,0.6861538461538462,0.68,0.7352014652014652,0.6899314574314575,0.6699091105707651,0.77,0.7947933112638995,0.7854545454545454,0.7600992154370091
9,0.72,0.7806489262371615,0.7126290376290376,0.7106129669769221,0.73,0.7862254901960785,0.7293872793872793,0.7246970824874049,0.67,0.7299404761904762,0.6836913086913088,0.6698959086890122,0.73,0.7957142857142857,0.7593406593406593,0.7201364995088626
