,orig_acc,orig_prec,orig_rec,orig_f1,epic_acc,epic_prec,epic_rec,epic_f1,dard_acc,dard_prec,dard_rec,dard_f1,sard_acc,sard_prec,sard_rec,sard_f1
0,0.81,0.7434794372294371,0.8121794871794872,0.7620224753933194,0.85,0.7822222222222223,0.8615384615384615,0.8053165930403783,0.85,0.7817045454545454,0.8592307692307692,0.8055196943766065,0.83,0.7545299145299145,0.836923076923077,0.7837255720453997
1,0.78,0.6973012281835811,0.7578477078477078,0.7178017318938371,0.85,0.7715511204481793,0.8200854700854702,0.7795708954480638,0.86,0.7772630718954249,0.8300854700854702,0.789821225071225,0.88,0.8852579365079366,0.8532600732600732,0.8256327166677797
2,0.77,0.8178520091020092,0.8169570707070708,0.7588526354766765,0.79,0.84880439005439,0.8436237373737374,0.7803244969485379,0.79,0.8390692640692642,0.8436237373737374,0.7762074926912724,0.8,0.8307051282051281,0.849179292929293,0.78741104646987
3,0.89,0.9162687312687312,0.8813888888888888,0.8601818138549773,0.89,0.9134090909090908,0.8825,0.856886437733514,0.87,0.7999368686868686,0.8633333333333333,0.8215573779044544,0.87,0.8922552447552448,0.8569444444444445,0.834996890083097
4,0.85,0.7946153846153846,0.8208333333333332,0.7871191555322014,0.85,0.8009508547008547,0.8166666666666667,0.7874662046966947,0.84,0.7921721261194946,0.8125,0.7806489742141917,0.84,0.7901518218623482,0.8208333333333334,0.7902342365872114
5,0.84,0.7423809523809524,0.7929487179487179,0.765145975455573,0.9,0.8046182983682983,0.8523076923076923,0.82379286959793,0.88,0.7939393939393941,0.836923076923077,0.8024912325376722,0.85,0.7721520146520147,0.8138461538461538,0.7747234062707208
6,0.85,0.768925518925519,0.8088217338217338,0.7776507679116376,0.88,0.7966727716727717,0.8387362637362639,0.80299322255844,0.84,0.7476551226551227,0.8045482295482296,0.762099985360855,0.83,0.7584920634920636,0.800564713064713,0.7590315011521978
7,0.83,0.7659848484848485,0.8016233766233766,0.7761374509099483,0.88,0.8270952380952382,0.840909090909091,0.8210835058661147,0.84,0.7730952380952381,0.8111471861471861,0.7850690131124914,0.84,0.8642275840101927,0.8319805194805194,0.8019863939772407
8,0.79,0.7307466063348416,0.8413675213675214,0.7704986658695099,0.83,0.7835897435897436,0.8699999999999999,0.8069208711152445,0.81,0.7610439560439561,0.8400000000000001,0.7821212121212121,0.78,0.6971836788942053,0.8062626262626263,0.7415253971175024
9,0.87,0.8935491469314998,0.8593531468531468,0.8275529387193474,0.88,0.9060491469314998,0.8670454545454545,0.838219605386014,0.87,0.9009294871794872,0.8570454545454546,0.8289368777853747,0.84,0.7880368814192343,0.8214141414141414,0.7886121836312665
10,0.82,0.8622335344394167,0.8050890775890777,0.7863068801620695,0.85,0.9038344116323993,0.8388986013986013,0.8193635138614926,0.86,0.8951785714285716,0.8513986013986014,0.8216818838972539,0.84,0.8548727824463119,0.8353729603729605,0.8003799224178729
