,state,action
0,16,1
1,6,1
2,5,2
3,19,2
4,15,1
5,33,3
6,58,3
7,3,1
8,28,2
9,31,3
10,28,3
11,23,3
12,21,1
13,22,1
14,27,2
15,25,3
16,27,1
17,29,2
18,26,1
19,49,1
20,50,1
21,269,3
22,290,1
23,291,1
24,292,1
25,161,0
26,292,2
27,231,1
28,160,3
29,161,1
30,162,2
31,159,1
32,158,1
33,163,3
34,328,1
35,306,1
36,305,1
37,303,2
38,302,3
39,303,0
40,305,0
41,306,1
42,305,1
43,303,2
44,302,3
45,303,2
46,302,3
47,303,0
48,305,1
49,303,0
50,305,0
51,306,1
52,305,1
53,303,2
54,302,3
55,303,2
56,302,3
57,303,2
58,302,3
59,303,0
60,305,2
61,304,3
62,305,1
63,303,2
64,302,3
65,303,2
66,302,3
67,303,2
68,302,2
69,301,3
70,302,2
71,301,3
72,302,3
73,303,2
74,302,3
75,303,0
76,305,1
77,303,2
78,302,2
79,301,0
80,307,3
81,304,2
82,307,1
83,301,2
84,300,3
85,301,3
86,302,3
87,303,2
88,302,3
89,303,0
90,305,2
91,304,1
92,302,3
93,303,0
94,305,2
95,304,3
96,305,1
97,303,2
98,302,3
99,303,2
100,302,0
101,304,3
102,305,1
103,303,0
104,305,2
105,304,2
106,307,3
107,304,1
108,302,3
109,303,2
110,302,3
111,303,0
112,305,0
113,306,1
114,305,2
115,304,0
116,309,1
117,304,1
118,302,2
119,301,3
120,302,3
121,303,2
122,302,3
123,303,2
124,302,2
125,301,3
126,302,3
127,303,2
128,302,3
129,303,0
130,305,1
131,303,2
132,302,2
133,301,3
134,302,3
135,303,2
136,302,3
137,303,2
138,302,3
139,303,0
140,305,1
141,303,2
142,302,2
143,301,3
144,302,3
145,303,2
146,302,2
147,301,3
148,302,3
149,303,2
150,302,3
151,303,2
152,302,0
153,304,3
154,305,1
155,303,2
156,302,3
157,303,2
158,302,3
159,303,2
160,302,3
161,303,0
162,305,1
163,303,2
164,302,3
165,303,2
166,302,3
167,303,0
168,305,2
169,304,2
170,307,1
171,301,3
172,302,3
173,303,0
174,305,1
175,303,2
176,302,3
177,303,0
178,305,0
179,306,2
180,309,1
181,304,1
182,302,3
183,303,2
184,302,3
185,303,2
186,302,3
187,303,2
188,302,3
189,303,2
190,302,3
191,303,0
192,305,1
193,303,2
194,302,3
195,303,2
196,302,2
197,301,3
198,302,3
